,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,gaia_gmag,st_teff,st_mass,st_rad,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_rade,pl_rads,pl_trandur,pl_tranmid,pl_ratror,pl_mnum,pl_st_npar,pl_st_nref,st_rah,st_glon,st_glat,st_elon,st_elat,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_logg,st_metfe,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_jmh2,st_hmk2,st_jmk2
2019,0,1,6.96710269,,0.242,0,1,0,297.12431200000003,47.037025,1114.0,13.487,13.419,6561.0,1.39,1.65,1,0,0,0.0,0,0,,2.71,0.025,0.15179,2454971.24152,0.01456,0,27,11,19.80828747,80.70911600000001,10.616327,319.495251,65.879526,1.06,946.81,-5.0,-12.0,13.0,-5.0,-12.0,13.0,4.14,0.07,12.538,12.327,12.290999999999999,12.251,12.265999999999998,12.334000000000001,9.289,0.21100000000000002,0.036000000000000004,0.247
2020,0,1,168.811174,,0.159,0,1,0,297.28499,49.212456,349.0,14.061,14.039000000000001,4886.0,0.81,0.74,1,0,0,0.0,0,0,,1.78,0.016,0.271,2455044.44085,0.02198,0,49,12,19.81899933,82.70914,11.560772,322.29499300000003,67.75876,2.96,338.36,31.0,2.7,31.2,31.0,2.7,31.2,4.61,0.02,12.48,11.985,11.902999999999999,11.833,11.898,11.944,9.306000000000001,0.495,0.08199999999999999,0.5770000000000001
2021,0,1,163.692349,,0.24100000000000002,0,1,0,298.898763,47.463093,688.0,15.030999999999999,15.033,5201.0,0.84,0.8,1,0,0,0.0,0,0,,2.7,0.025,0.28567,2455071.76652,0.0312,0,28,11,19.9265842,81.684223,9.772982,322.58405600000003,65.709968,1.34,745.39,6.6,-5.6,8.7,6.6,-5.6,8.7,4.57,-0.06,13.642999999999999,13.140999999999998,13.139000000000001,13.082,13.174000000000001,12.276,8.648,0.502,0.002,0.504
2022,0,1,19.597497100000002,,0.27899999999999997,0,1,0,297.583942,41.541227,994.0,15.412,15.368,5623.0,0.95,0.93,1,0,0,0.0,0,0,,3.13,0.028999999999999998,0.16954,2454968.2547,0.03059,0,28,10,19.83892947,76.012404,7.647523,315.141826,60.729641,1.04,956.98,-1.7,-5.0,5.3,-4.1,-2.9,5.1,4.48,0.01,14.025,13.623,13.511,,,,,0.402,0.11199999999999999,0.514
2023,0,1,0.69297968,,0.08,0,1,0,283.76407400000005,42.222172,665.0,13.447000000000001,13.408,6078.0,1.12,1.18,1,0,0,0.0,0,0,,0.9,0.008,0.04508,2454964.8001,0.00733,0,22,9,18.91760493,72.109162,17.218759,294.16902200000004,64.510913,1.45,688.09,-3.5,-8.7,9.4,-3.5,-8.7,9.4,4.34,0.04,12.332,12.062999999999999,11.995999999999999,11.985999999999999,12.020999999999999,12.577,8.896,0.26899999999999996,0.067,0.336
2024,0,1,124.82867900000001,,0.23600000000000002,0,1,0,287.471233,46.080666,1150.0,15.259,15.245,5706.0,0.99,0.97,1,0,0,0.0,0,0,,2.64,0.024,0.26392,2455041.78455,0.024919999999999998,0,28,11,19.16474887,76.88159,16.189704000000003,303.01273399999997,67.52786,1.12,894.53,-9.2,-17.8,20.1,-9.2,-17.8,20.1,4.46,0.05,14.057,13.735,13.7,13.638,13.718,12.658,9.467,0.322,0.035,0.35700000000000004
2025,0,1,214.886545,,0.22899999999999998,0,1,0,286.05242599999997,39.096053000000005,792.0,15.187999999999999,15.152000000000001,5324.0,0.88,0.84,1,0,0,0.0,0,0,,2.57,0.024,0.4212,2455046.387,0.02833,0,28,11,19.07016176,69.791997,14.423289000000002,296.34073,61.075593999999995,1.22,821.84,2.4,-2.1,3.2,0.7,-2.5,2.6,4.54,0.02,13.790999999999999,13.372,13.270999999999999,13.203,13.259,12.505,8.66,0.419,0.10099999999999999,0.52
2026,0,2,5.9311940000000005,0.055999999999999994,0.18600000000000003,0,1,0,288.495833,51.081947,293.0,14.258,14.24,4508.0,,0.62,1,0,0,0.0,0,0,0.191,2.09,0.019,0.0988,2455007.79655,,0,67,14,19.23305553,81.98736,17.449562,310.046953,71.956563,3.38,295.99,-5.3,-7.0,8.8,-5.3,-7.0,8.8,4.68,,12.533,11.888,11.805,11.578,11.629000000000001,11.503,9.567,0.645,0.083,0.728
2027,0,2,52.661793,0.242,0.2,0,1,0,288.495833,51.081947,293.0,14.258,14.24,4508.0,,0.62,1,0,0,0.0,0,0,0.826,2.24,0.021,0.1328,2455016.51681,,0,69,16,19.23305553,81.98736,17.449562,310.046953,71.956563,3.38,295.99,-5.3,-7.0,8.8,-5.3,-7.0,8.8,4.68,,12.533,11.888,11.805,11.578,11.629000000000001,11.503,9.567,0.645,0.083,0.728
2028,0,1,225.582809,,0.26899999999999996,0,1,0,287.76456,38.294703999999996,1202.0,14.9,14.884,5991.0,1.07,1.11,1,0,0,0.0,0,0,,3.02,0.027999999999999997,0.46587,2455105.7980299997,0.02534,0,28,11,19.18430402,69.59779300000001,12.876655,298.59808,59.982516000000004,0.82,1220.03,12.8,-0.2,12.8,7.0,0.2,7.0,4.38,0.01,13.812000000000001,13.49,13.427,13.402000000000001,13.404000000000002,12.95,9.157,0.322,0.063,0.385
