,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,gaia_gmag,st_teff,st_mass,st_rad,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_rade,pl_rads,pl_trandur,pl_tranmid,pl_ratror,pl_mnum,pl_st_npar,pl_st_nref,st_rah,st_glon,st_glat,st_elon,st_elat,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_logg,st_metfe,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_jmh2,st_hmk2,st_jmk2
0,0,1,326.03,1.29,,0,0,0,185.179276,17.792868,93.37,4.74,4.372,4742.0,2.7,19.0,0,1,0,0.0,0,0,13.8,,,,,,0,27,19,12.34528503,264.140892,78.28052199999999,177.42238799999998,18.333765,10.71,93.37,-109.2,88.2,140.4,-109.2,88.2,140.4,2.31,-0.35,2.943,2.484,2.282,0.639,0.732,2.358,2.27,0.45899999999999996,0.20199999999999999,0.6609999999999999
1,0,1,516.21997,1.53,,0,0,0,229.27453599999998,71.823898,125.72,5.016,4.5,4213.0,2.78,29.79,0,1,0,0.0,0,0,12.2,,,,,,0,35,18,15.28496908,108.71898200000001,41.044515999999994,141.647144,74.958184,7.95,125.72,3.4,10.1,10.7,3.4,10.1,10.7,1.93,-0.02,2.8760000000000003,2.0909999999999997,1.939,-0.29,0.14300000000000002,1.8940000000000001,1.787,0.785,0.152,0.937
2,0,1,185.84,0.83,,0,0,0,352.822571,39.236198,75.59,5.227,4.872,4813.0,2.2,11.0,0,1,0,0.0,0,0,11.0,,,,,,0,30,22,23.52150472,106.41155800000001,-21.05061,11.962116,38.229937,13.23,75.59,287.3,-83.8,299.3,287.3,-83.8,299.3,2.63,-0.24,3.0189999999999997,2.608,2.331,1.5919999999999999,2.545,2.719,2.719,0.41100000000000003,0.27699999999999997,0.688
3,0,1,1773.4000199999998,2.93,,0,0,0,242.60130299999997,43.817646,17.94,6.61,6.379,5338.0,0.9,0.93,0,1,0,0.0,0,0,163.0,,,,,,0,79,37,16.17342021,69.170376,46.944998999999996,223.24872799999997,62.879798,55.74,17.94,132.0,-296.5,324.5,132.0,-296.5,324.5,4.45,0.41,5.1579999999999995,4.803,4.7139999999999995,4.676,4.543,4.721,4.6739999999999995,0.355,0.08900000000000001,0.444
4,0,1,798.5,1.66,,0,0,0,295.466553,50.517525,21.41,6.25,6.057,5750.0,1.08,1.13,0,1,0,0.0,0,0,77.5,,,,,,0,77,40,19.69777018,83.33646,13.204351999999998,321.21805,69.468372,47.28,21.15,-134.8,-162.5,211.1,-134.8,-162.5,211.1,4.36,0.06,4.993,4.695,4.651,4.773,4.5680000000000005,4.926,4.713,0.298,0.044000000000000004,0.342
5,0,1,993.3,2.6,,0,0,0,314.608063,10.839286,76.38,5.506,5.244,4979.0,2.3,8.5,0,1,0,0.0,0,0,34.0,,,,,,0,28,20,20.97387085,58.691433999999994,-21.974823999999998,320.591213,26.786858000000002,13.09,76.38,-50.0,-34.2,60.6,-50.0,-34.2,60.6,2.82,-0.052000000000000005,4.032,3.44,3.366,3.37,2.931,3.355,3.3080000000000003,0.5920000000000001,0.07400000000000001,0.6659999999999999
7,0,1,30.3506,0.19,,0,0,0,217.15754700000002,49.844852,96.25,5.58,5.305,4893.0,0.99,10.64,0,1,0,0.0,0,0,1.97,,,,,,0,17,14,14.4771698,90.162223,60.643666,185.925162,58.888906999999996,10.39,96.25,-304.1,-46.8,307.6,-304.1,-46.8,307.6,2.42,-0.77,3.845,3.34,3.159,,,,,0.505,0.18100000000000002,0.6859999999999999
8,0,2,452.8,1.3330000000000002,,0,0,0,155.86821,-0.902244,72.21,6.441,6.1979999999999995,5098.0,1.54,4.9,0,1,0,0.0,0,0,18.5,,,,,,0,21,17,10.39121399,245.085309,44.715734000000005,157.99358999999998,-10.198148,13.85,72.21,65.2,-36.3,74.6,65.2,-36.3,74.6,3.5,-0.03,5.292000000000001,4.486000000000001,4.285,4.093999999999999,3.5980000000000003,4.254,4.2010000000000005,0.8059999999999999,0.201,1.0070000000000001
9,0,2,883.0,2.08,,0,0,0,155.86821,-0.902244,72.21,6.441,6.1979999999999995,5098.0,1.54,4.9,0,1,0,0.0,0,0,28.8,,,,,,0,21,17,10.39121399,245.085309,44.715734000000005,157.99358999999998,-10.198148,13.85,72.21,65.2,-36.3,74.6,65.2,-36.3,74.6,3.5,-0.03,5.292000000000001,4.486000000000001,4.285,4.093999999999999,3.5980000000000003,4.254,4.2010000000000005,0.8059999999999999,0.201,1.0070000000000001
10,0,1,,52.0,,0,0,0,20.712243,-24.664049,36.0,14.24,12.902999999999999,3530.0,0.4,,0,0,1,0.0,0,0,1440.0,,,,,,0,9,6,1.3808162,195.448768,-82.520165,8.622413,-30.711243,29.53,33.86,120.5,-123.4,172.4,120.5,-123.4,172.4,,,10.084,9.47,9.198,9.022,8.857000000000001,8.747,8.298,0.614,0.272,0.8859999999999999
13,0,1,,46.0,,0,0,0,181.889447,-39.548332,52.4,20.15,17.408,,0.02,,0,0,1,0.0,0,0,878.0,,,,,,0,9,8,12.12596313,293.790363,22.543297,199.743654,-35.034839,15.52,64.42,-64.1,-23.7,68.3,-64.1,-23.7,68.3,,,12.995,12.388,11.945,11.574000000000002,11.017000000000001,9.469,8.121,0.607,0.44299999999999995,1.05
14,0,1,416.0,0.92,,0,1,0,294.63586499999997,46.066418,396.36,12.264000000000001,12.138,,0.48,,0,0,0,0.0,0,1,2.32,,,,,,0,11,8,19.642391,79.018713,11.674389,314.709288,65.725374,2.5,400.77,5.2,-4.6,7.0,5.2,-4.6,7.0,,,12.757,12.889000000000001,12.955,12.862,12.92,12.67,9.203,-0.132,-0.066,-0.198
16,0,1,,230.0,,0,0,0,339.102203,47.86182,74.0,12.51,11.948,4045.0,0.6,,0,0,1,0.0,0,0,3110.0,,,,,,0,8,5,22.60681356,100.748288,-9.108906,6.858822999999999,50.853569,14.34,69.71,62.9,-30.5,69.9,62.9,-30.5,69.9,,,9.975,9.338,9.148,9.058,9.094,8.947000000000001,8.731,0.637,0.19,0.8270000000000001
17,0,1,335.10001,0.99,,0,0,0,39.240584999999996,24.648064,44.71,6.962000000000001,6.961,6331.0,1.93,1.41,1,1,0,0.0,0,0,22.1,,,,,,0,41,24,2.61603902,151.476148,-32.309490999999994,44.567803999999995,8.854811,22.36,44.71,141.4,-10.7,141.8,141.4,-10.7,141.8,4.43,0.19,6.08,5.9079999999999995,5.822,5.962999999999999,5.669,5.825,5.678999999999999,0.172,0.086,0.258
18,0,1,269.3,0.87,,0,0,0,130.053406,64.327934,73.58,4.61,4.16,4415.0,1.23,18.11,0,1,0,0.0,0,0,11.8,,,,,,0,22,18,8.67022705,151.358914,35.9569,112.81331200000001,44.028065999999995,13.59,73.58,-61.2,26.4,66.7,-61.2,26.4,66.7,1.8,-0.25,2.6189999999999998,2.021,1.734,-0.342,0.1,1.817,1.755,0.598,0.287,0.885
19,0,1,479.1,1.19,,0,0,0,276.496399,65.563484,90.86,4.82,4.364,4200.0,0.98,22.03,0,1,0,0.0,0,0,13.1,,,,,,0,22,18,18.43309326,95.41917099999999,27.125611,342.26709,87.183386,11.01,90.86,105.2,-25.1,108.2,105.2,-25.1,108.2,1.71,-0.46,2.949,2.197,2.085,-0.152,0.37200000000000005,2.022,1.892,0.752,0.11199999999999999,0.8640000000000001
20,0,3,1078.0,2.1,,0,0,0,164.86656200000002,40.430256,13.8,5.05,4.831,5892.0,1.03,1.23,0,1,0,0.0,0,0,152.0,,,,,,0,62,42,10.99110413,175.782531,63.369127,149.06985500000002,31.061608000000003,72.45,13.8,-317.6,55.0,322.4,-317.6,55.0,322.4,4.27,0.0,3.96,3.736,3.75,3.556,3.1430000000000002,3.5860000000000003,3.553,0.22399999999999998,-0.013999999999999999,0.21
21,0,3,2391.0,3.6,,0,0,0,164.86656200000002,40.430256,13.8,5.05,4.831,5892.0,1.03,1.23,0,1,0,0.0,0,0,261.0,,,,,,0,48,42,10.99110413,175.782531,63.369127,149.06985500000002,31.061608000000003,72.45,13.8,-317.6,55.0,322.4,-317.6,55.0,322.4,4.27,0.0,3.96,3.736,3.75,3.556,3.1430000000000002,3.5860000000000003,3.553,0.22399999999999998,-0.013999999999999999,0.21
22,0,3,14002.0,11.6,,0,0,0,164.86656200000002,40.430256,13.8,5.05,4.831,5892.0,1.03,1.23,0,1,0,0.0,0,0,840.0,,,,,,0,41,42,10.99110413,175.782531,63.369127,149.06985500000002,31.061608000000003,72.45,13.8,-317.6,55.0,322.4,-317.6,55.0,322.4,4.27,0.0,3.96,3.736,3.75,3.556,3.1430000000000002,3.5860000000000003,3.553,0.22399999999999998,-0.013999999999999999,0.21
23,0,1,,13.2,,0,0,0,69.40055100000001,-2.473548,29.4,5.23,5.122000000000001,,1.75,,0,0,1,1.0,0,0,449.0,,,,,,0,20,24,4.62670339,198.61262,-30.657612,67.31344200000001,-24.305028,33.58,29.78,44.4,-63.8,77.7,44.4,-63.8,77.7,,-0.027000000000000003,4.744,4.77,4.537,4.543,4.31,4.575,4.39,-0.026000000000000002,0.233,0.207
24,0,1,4.230785,0.0527,,0,0,0,344.366577,20.768832999999997,15.47,5.5,5.256,5793.0,1.12,1.2,0,1,0,0.0,0,0,3.41,,,,,,0,62,44,22.95777181,90.062611,-34.727214000000004,354.284094,25.186477,64.65,15.47,207.4,62.1,216.5,207.4,62.1,216.5,4.33,0.2,4.655,4.234,3.911,3.909,3.6239999999999997,3.929,3.904,0.42100000000000004,0.32299999999999995,0.7440000000000001
25,0,5,14.651520000000001,0.115227,,0,0,0,133.149216,28.330818,12.59,5.96,5.7139999999999995,5196.0,0.91,0.94,0,1,0,0.0,0,0,9.15,,,,,,0,110,49,8.87661438,196.794709,37.698968,127.732452,10.367085000000001,79.43,12.59,-485.9,-233.7,539.1,-485.9,-233.7,539.1,4.45,0.31,4.768,4.265,4.015,4.001,3.2960000000000003,4.051,4.013999999999999,0.503,0.25,0.753
26,0,5,44.4175,0.24137600000000003,,0,0,0,133.149216,28.330818,12.59,5.96,5.7139999999999995,5196.0,0.91,0.94,0,1,0,0.0,0,0,19.2,,,,,,0,85,49,8.87661438,196.794709,37.698968,127.732452,10.367085000000001,79.43,12.59,-485.9,-233.7,539.1,-485.9,-233.7,539.1,4.45,0.31,4.768,4.265,4.015,4.001,3.2960000000000003,4.051,4.013999999999999,0.503,0.25,0.753
27,0,5,4825.0,5.502999999999999,,0,0,0,133.149216,28.330818,12.59,5.96,5.7139999999999995,5196.0,0.91,0.94,0,1,0,0.0,0,0,437.0,,,,,,0,99,49,8.87661438,196.794709,37.698968,127.732452,10.367085000000001,79.43,12.59,-485.9,-233.7,539.1,-485.9,-233.7,539.1,4.45,0.31,4.768,4.265,4.015,4.001,3.2960000000000003,4.051,4.013999999999999,0.503,0.25,0.753
28,0,5,0.736539,0.01544,0.17,0,0,0,133.149216,28.330818,12.59,5.96,5.7139999999999995,5196.0,0.91,0.94,1,1,0,0.0,0,0,1.23,1.91,0.018000000000000002,,2455733.0130000003,0.0187,0,129,54,8.87661438,196.794709,37.698968,127.732452,10.367085000000001,79.43,12.59,-485.9,-233.7,539.1,-485.9,-233.7,539.1,4.45,0.31,4.768,4.265,4.015,4.001,3.2960000000000003,4.051,4.013999999999999,0.503,0.25,0.753
29,0,5,262.0,0.7879999999999999,,0,0,0,133.149216,28.330818,12.59,5.96,5.7139999999999995,5196.0,0.91,0.94,0,1,0,0.0,0,0,62.6,,,,,,0,78,49,8.87661438,196.794709,37.698968,127.732452,10.367085000000001,79.43,12.59,-485.9,-233.7,539.1,-485.9,-233.7,539.1,4.45,0.31,4.768,4.265,4.015,4.001,3.2960000000000003,4.051,4.013999999999999,0.503,0.25,0.753
30,0,1,934.3,2.11,,0,0,0,97.696281,58.162631999999995,54.74,5.86,5.587999999999999,4938.0,1.44,5.2,0,1,0,0.0,0,0,38.5,,,,,,0,47,24,6.51308543,156.971465,20.189874,94.938691,34.855212,18.27,54.74,-30.4,-338.7,340.0,-30.4,-338.7,340.0,3.19,,4.272,3.825,3.701,3.662,2.9160000000000004,3.6889999999999996,3.589,0.447,0.124,0.5710000000000001
31,0,3,4.215,0.050200999999999996,,0,0,0,199.601318,-18.311195,8.51,4.74,4.477,5577.0,0.94,0.96,0,1,0,0.0,0,0,5.9,,,,,,0,42,46,13.30675456,311.859025,44.092636999999996,205.0072,-9.297808999999999,117.57,8.51,-1070.8,-1063.0,1508.8,-1070.8,-1063.0,1508.8,4.34,-0.01,3.3339999999999996,2.9739999999999998,2.9560000000000004,2.144,2.7910000000000004,3.091,2.986,0.36,0.018000000000000002,0.37799999999999995
32,0,3,38.021,0.2175,,0,0,0,199.601318,-18.311195,8.51,4.74,4.477,5577.0,0.94,0.96,0,1,0,0.0,0,0,25.6,,,,,,0,42,46,13.30675456,311.859025,44.092636999999996,205.0072,-9.297808999999999,117.57,8.51,-1070.8,-1063.0,1508.8,-1070.8,-1063.0,1508.8,4.34,-0.01,3.3339999999999996,2.9739999999999998,2.9560000000000004,2.144,2.7910000000000004,3.091,2.986,0.36,0.018000000000000002,0.37799999999999995
33,0,3,123.01,0.47600000000000003,,0,0,0,199.601318,-18.311195,8.51,4.74,4.477,5577.0,0.94,0.96,0,1,0,0.0,0,0,56.0,,,,,,0,42,46,13.30675456,311.859025,44.092636999999996,205.0072,-9.297808999999999,117.57,8.51,-1070.8,-1063.0,1508.8,-1070.8,-1063.0,1508.8,4.34,-0.01,3.3339999999999996,2.9739999999999998,2.9560000000000004,2.144,2.7910000000000004,3.091,2.986,0.36,0.018000000000000002,0.37799999999999995
34,0,1,796.0,1.93,,0,0,0,99.17099,-19.255878,19.82,3.92,3.5780000000000003,4792.0,1.52,2.3,0,1,0,0.0,0,0,97.4,,,,,,0,32,27,6.61139933,228.68839900000003,-11.796021000000001,101.74191400000001,-42.322075,50.46,19.82,62.0,-72.8,95.6,62.0,-72.8,95.6,3.25,0.21,2.173,1.679,1.564,-0.682,-0.525,1.653,1.541,0.494,0.115,0.609
35,0,1,116.68799999999999,0.48100000000000004,,0,0,0,202.107544,13.778788,17.91,4.97,4.709,5495.0,1.09,1.89,0,1,0,0.0,0,0,26.9,,,,,,0,75,41,13.47383626,337.665279,74.100664,194.97081799999998,21.340775,55.83,17.91,-235.6,-576.3,622.6,-235.6,-576.3,622.6,3.95,,3.798,3.457,3.5,2.49,2.951,3.2569999999999997,3.1860000000000004,0.341,-0.043,0.298
36,0,1,691.9,2.1,,0,0,0,38.039253,-1.0348959999999998,83.15,5.35,5.055,4846.0,2.49,10.5,0,1,0,0.0,0,0,25.3,,,,,,0,20,17,2.53595022,169.94419399999998,-54.441590000000005,35.325385,-15.1675,12.03,83.15,-23.6,-30.5,38.6,-23.6,-30.5,38.6,2.63,0.0,3.931,3.318,3.207,2.101,2.7910000000000004,3.0380000000000003,2.988,0.613,0.111,0.7240000000000001
37,0,1,93.4,0.49,,0,0,0,224.201477,74.900925,159.1,6.83,6.559,4847.0,1.44,10.3,0,1,0,0.0,0,0,3.08,,,,,,0,26,14,14.94676514,112.794978,39.66113,130.659106,73.34490799999999,6.12,163.32,12.8,3.6,13.3,12.8,3.6,13.3,2.57,-0.03,5.069,4.749,4.515,,,,,0.32,0.23399999999999999,0.5539999999999999
38,0,1,952.7,2.5,,0,0,0,39.424168,-3.396175,101.53,5.65,5.349,4785.0,2.4,11.0,0,1,0,0.0,0,0,24.6,,,,,,0,23,18,2.62827784,174.486548,-55.249930000000006,35.893927000000005,-17.849554,9.85,101.53,42.1,-43.3,60.4,42.1,-43.3,60.4,2.35,-0.06,3.94,3.386,3.266,3.313,3.036,3.2969999999999997,3.242,0.5539999999999999,0.12,0.674
39,0,1,181.4,0.7,,0,0,0,348.9729,-9.087736999999999,44.08,4.25,3.863,4665.0,1.4,11.0,0,1,0,0.0,0,0,15.9,,,,,,0,20,23,23.26486003,67.071988,-61.112023,346.308642,-4.001592,22.69,44.08,368.4,-17.2,368.8,368.4,-17.2,368.8,2.52,-0.03,2.263,1.69,1.597,-0.368,0.10800000000000001,1.79,1.6980000000000002,0.573,0.09300000000000001,0.6659999999999999
40,0,1,,260.0,,0,0,0,94.803802,-58.05431,50.12,9.128,8.838,,,,0,0,1,0.0,0,0,5190.0,,,,,,0,13,16,6.320253500000001,266.943713,-26.930799,106.859385,-81.211862,19.95,50.12,14.3,45.1,47.3,14.3,45.1,47.3,,,7.5760000000000005,7.087999999999999,6.981,6.897,6.888,6.858,6.829,0.488,0.107,0.595
41,0,1,481.9,1.3,,0,0,0,177.564804,2.7601419999999997,2618.0,9.58,8.998,4095.0,1.14,32.35,0,1,0,0.0,0,0,0.49700000000000005,,,,,,0,18,8,11.83765361,269.32535099999996,61.573487,176.6684,1.564346,0.9,1106.93,-17.6,-3.5,17.9,-17.6,-3.5,17.9,1.89,-0.71,6.96,6.186,6.021,5.956,5.976,5.968999999999999,5.829,0.774,0.165,0.9390000000000001
42,0,1,268.94,0.78,,0,0,0,318.399963,14.689387,49.42,9.63,9.351,4864.0,0.49,0.86,0,1,0,0.0,0,0,15.8,,,,,,0,30,12,21.22666423,64.41765500000001,-22.630868,325.97532,29.216882000000002,20.23,49.42,234.0,-0.3,234.0,234.0,-0.3,234.0,4.26,0.17,7.882000000000001,7.455,7.336,7.207000000000001,7.35,7.289,7.176,0.42700000000000005,0.11900000000000001,0.546
43,0,1,153.22,0.5760000000000001,,0,0,0,176.482174,14.616381,774.0,10.31,9.992,4649.0,1.08,8.95,0,1,0,0.0,0,0,0.7440000000000001,,,,,,0,17,9,11.76547827,249.00238599999997,70.272589,170.891143,11.999642999999999,1.27,785.38,-28.5,-11.7,30.8,-28.5,-11.7,30.8,2.61,-0.22,8.372,7.862,7.718,7.649,7.7989999999999995,7.692,7.425,0.51,0.14400000000000002,0.654
44,0,1,137.48,0.539,,0,0,0,240.09556600000002,15.54693,431.61,9.046,8.718,4796.0,1.1,14.7,0,1,0,0.0,0,0,1.25,,,,,,0,17,9,16.00637105,28.104434,44.780297,233.93878999999998,35.317753,2.32,431.61,15.1,-41.9,44.6,15.1,-41.9,44.6,2.8,0.28,7.154,6.664,6.525,6.527,6.537999999999999,6.499,6.377000000000001,0.49,0.139,0.629
45,0,2,379.63,1.05,,0,0,0,154.18691,19.891409,200.0,9.75,9.227,4259.0,10.83,71.02,0,1,0,0.0,0,0,5.25,,,,,,0,30,9,10.27912733,216.04463700000002,53.952466,148.88207,8.585761999999999,0.6,1670.85,-36.1,-29.9,46.9,-36.1,-29.9,46.9,1.77,-0.79,7.2989999999999995,6.606,6.42,6.38,6.355,6.3629999999999995,6.191,0.693,0.18600000000000003,0.879
46,0,2,621.99,2.01,,0,0,0,154.18691,19.891409,200.0,9.75,9.227,4259.0,10.83,71.02,0,1,0,0.0,0,0,10.1,,,,,,0,25,9,10.27912733,216.04463700000002,53.952466,148.88207,8.585761999999999,0.6,1670.85,-36.1,-29.9,46.9,-36.1,-29.9,46.9,1.77,-0.79,7.2989999999999995,6.606,6.42,6.38,6.355,6.3629999999999995,6.191,0.693,0.18600000000000003,0.879
47,0,1,578.2,1.3,,0,0,0,25.920324,21.005314000000002,1383.85,9.36,8.916,4296.0,0.8,17.3,0,1,0,0.0,0,0,0.9390000000000001,,,,,,0,20,10,1.7280216,138.974211,-40.233371999999996,31.621665999999998,9.587492999999998,0.72,1383.85,0.2,-3.8,3.8,0.2,-3.8,3.8,1.99,-0.46,7.002999999999999,6.337000000000001,6.169,6.107,6.141,6.106,5.9910000000000005,0.6659999999999999,0.168,0.8340000000000001
48,0,1,41.6855,,0.23,0,0,1,53.650967,20.599232,180.39,11.038,10.864,5766.0,1.67,1.08,1,1,0,0.0,0,0,,2.5780000000000003,0.024,,,,0,48,11,3.57673111,166.796349,-28.053358000000003,56.292499,1.312319,5.54,180.39,37.1,-51.5,63.5,36.6,-51.4,63.1,4.5,-0.15,9.77,9.432,9.368,9.31,9.344,9.332,8.976,0.33799999999999997,0.064,0.402
49,0,1,392.6,1.0,,0,0,0,40.710224,49.58696,892.17,9.14,8.656,4414.0,0.74,11.0,0,1,0,0.0,0,0,1.12,,,,,,0,26,11,2.71401493,140.808446,-9.378616000000001,54.573322999999995,32.030243,1.12,892.17,2.8,-6.3,6.9,2.8,-6.3,6.9,2.24,-0.2,6.704,6.077000000000001,5.904,5.8870000000000005,5.831,5.854,5.746,0.627,0.17300000000000001,0.8
50,0,1,733.0,1.7,,0,0,0,40.742569,48.930061,678.94,8.699,8.264,4534.0,1.09,10.33,0,1,0,0.0,0,0,2.5,,,,,,0,16,10,2.71617126,141.109069,-9.96525,54.322852000000005,31.408496999999997,1.47,678.94,-5.1,-1.1,5.2,-5.1,-1.1,5.2,2.48,-0.13,6.385,5.791,5.645,5.555,5.497000000000001,5.561,5.479,0.594,0.146,0.74
51,0,1,2590.0,4.2,,0,0,0,45.640529,49.730011,447.59,9.38,9.029,4943.0,1.52,7.6,0,1,0,0.0,0,0,9.38,,,,,,0,17,8,3.04270193,143.61786,-7.8016190000000005,58.151801,31.078590999999996,2.23,447.59,7.7,-9.7,12.3,7.7,-9.7,12.3,2.85,-0.19,7.246,6.729,6.571000000000001,6.502999999999999,6.525,6.5089999999999995,6.3629999999999995,0.517,0.158,0.675
52,0,2,3.8728,0.0428,,0,0,0,88.251183,-5.9948440000000005,20.28,9.7,9.107000000000001,4324.0,0.7,,0,1,0,0.0,0,0,2.11,,,,,,0,20,14,5.88341217,211.656623,-15.715292000000002,88.003116,-29.422014,49.31,20.28,-1.0,-346.7,346.7,-1.0,-346.7,346.7,4.74,-0.14,7.127999999999999,6.517,6.305,6.266,6.232,6.231,6.212999999999999,0.611,0.212,0.823
53,0,2,125.94,0.435,,0,0,0,88.251183,-5.9948440000000005,20.28,9.7,9.107000000000001,4324.0,0.7,,0,1,0,0.0,0,0,21.4,,,,,,0,20,14,5.88341217,211.656623,-15.715292000000002,88.003116,-29.422014,49.31,20.28,-1.0,-346.7,346.7,-1.0,-346.7,346.7,4.74,-0.14,7.127999999999999,6.517,6.305,6.266,6.232,6.231,6.212999999999999,0.611,0.212,0.823
54,0,2,5.6,0.06,,0,0,0,150.198837,-9.516680000000001,41.38,9.88,9.503,4816.0,0.5,0.71,0,1,0,0.0,0,0,1.45,,,,,,0,25,10,10.01325582,248.496598,34.756008,155.837804,-20.283333,24.16,41.38,-375.5,25.5,376.4,-375.5,25.5,376.4,4.43,-0.06,7.96,7.497999999999999,7.3229999999999995,7.212999999999999,7.3420000000000005,7.292000000000001,7.395,0.462,0.175,0.637
55,0,2,237.6,0.68,,0,0,0,150.198837,-9.516680000000001,41.38,9.88,9.503,4816.0,0.5,0.71,0,1,0,0.0,0,0,16.4,,,,,,0,20,10,10.01325582,248.496598,34.756008,155.837804,-20.283333,24.16,41.38,-375.5,25.5,376.4,-375.5,25.5,376.4,4.43,-0.06,7.96,7.497999999999999,7.3229999999999995,7.212999999999999,7.3420000000000005,7.292000000000001,7.395,0.462,0.175,0.637
56,0,1,3.48777,0.04,,0,0,0,164.620003,-10.770375999999999,80.0,10.08,9.84,5393.0,1.47,0.91,0,1,0,0.0,0,0,0.5,,,,,,0,47,14,10.97466687,263.285621,43.238484,170.135211,-15.967545000000001,11.82,84.61,-184.8,-8.4,185.0,-184.8,-8.4,185.0,4.69,0.38,8.611,8.3,8.124,8.109,8.141,8.145,7.566,0.311,0.17600000000000002,0.48700000000000004
57,0,1,1667.0,2.28,,0,0,0,278.370148,-11.636039,27.3,9.99,9.485,4475.0,0.57,0.52,0,1,0,0.0,0,0,83.5,,,,,,0,20,15,18.55800985,20.544276,-1.360142,278.367865,11.56045,36.78,27.19,-288.6,-235.6,372.5,-288.6,-235.6,372.5,4.1,-0.48,7.651,7.031000000000001,6.867000000000001,6.837999999999999,6.8420000000000005,6.886,6.99,0.62,0.16399999999999998,0.784
58,0,1,714.2999900000001,1.66,,0,0,0,114.288458,-13.906639000000002,766.0,9.45,9.7,4545.0,2.12,19.17,0,1,0,0.0,0,0,2.17,,,,,,0,22,12,7.61923053,230.520556,3.531328,119.14064499999999,-34.921186999999996,1.05,948.75,-0.7,-3.8,3.9,-0.7,-3.8,3.9,2.2,-0.08,7.94,7.371,7.151,7.051,7.2170000000000005,7.093999999999999,6.983,0.569,0.22,0.789
59,0,1,655.59998,1.34,,0,0,0,7.142942,-16.226345000000002,34.49,9.566,9.201,4665.0,0.31,0.74,0,1,0,0.0,0,0,38.9,,,,,,0,27,13,0.47619613,95.83866,-77.878025,359.903057,-17.689941,28.99,34.49,-355.2,-227.7,421.9,-355.2,-227.7,421.9,4.19,0.01,7.574,7.027,6.914,6.846,6.922999999999999,6.897,6.876,0.547,0.113,0.66
63,0,1,1.5089556999999998,,1.49,0,0,0,102.079885,-3.102147,805.31,13.6,13.457,5950.0,0.95,1.11,1,1,0,0.0,1,0,,16.7,0.153,,2454159.4532,0.1388,0,69,18,6.80532567,215.33887099999998,-2.107038,103.441849,-25.979515,1.24,805.31,-6.0,0.5,6.0,-6.0,0.5,6.0,4.25,-0.3,12.462,12.218,12.149000000000001,12.097999999999999,12.136,12.29,9.091000000000001,0.244,0.069,0.313
64,0,1,13.2406,0.1055,0.97,0,0,0,291.063708,0.746143,345.0,15.22,14.665,5075.0,0.89,0.79,1,1,0,0.0,0,0,0.306,10.87,0.1,0.1242,2454273.3436,0.1269,0,67,10,19.404247199999997,37.36077,-6.952866,292.89603900000003,22.526734,2.93,341.65,-3.2,-22.7,23.0,-3.2,-22.7,23.0,4.65,0.26,12.527000000000001,11.929,11.782,11.64,11.752,11.395999999999999,8.923,0.598,0.147,0.745
65,0,1,2.9943299999999997,0.0436,1.43,0,0,0,280.687263,5.937688,560.0,12.939,12.841,6440.0,1.27,1.37,1,1,0,0.0,0,0,0.0779,16.03,0.147,0.1042,2454597.679,0.107,0,63,9,18.7124842,37.240052,4.630184,282.166083,28.926737,1.5,666.35,1.9,-5.2,5.6,1.9,-5.2,5.6,4.22,-0.03,11.589,11.415999999999999,11.248,11.173,11.265,11.47,9.198,0.17300000000000001,0.168,0.341
66,0,1,2.828042,0.04016,1.44,0,0,0,100.765677,-1.296439,1150.0,15.515,15.345,5675.0,1.08,1.12,1,1,0,0.0,0,0,0.0349,16.14,0.14800000000000002,0.10726,2454398.62707,,0,60,9,6.7177118,213.13157900000002,-2.454352,101.823072,-24.29496,0.86,1161.12,1.7,-3.5,3.9,1.7,-3.5,3.9,4.38,0.16,14.024000000000001,13.63,13.557,13.47,13.47,12.53,8.61,0.39399999999999996,0.073,0.467
67,0,1,4.03519,0.051,0.885,0,0,0,102.721137,-5.086444999999999,1060.0,15.039000000000001,14.915,5945.0,1.09,1.01,1,1,0,0.0,0,0,0.0481,9.92,0.091,0.1308,2454790.8091,0.0909,0,54,8,6.8480758,217.398629,-2.439602,104.369342,-27.893388,0.84,1184.91,1.6,-3.3,3.6,1.6,-3.3,3.6,4.46,0.01,13.71,13.405999999999999,13.376,13.17,13.217,12.615,8.946,0.304,0.03,0.33399999999999996
68,0,1,1.51214,0.027000000000000003,1.09,0,0,0,103.424211,-5.536037,1340.0,16.033,15.812000000000001,6035.0,1.13,1.21,1,1,0,0.0,0,0,0.0202,12.22,0.11199999999999999,0.0693,2454787.6694,0.0925,0,55,8,6.8949474,218.117909,-2.02052,105.21063600000001,-28.269246000000003,0.55,1826.96,-0.1,-3.6,3.6,-0.1,-3.6,3.6,4.35,0.05,14.321,14.007,13.806,13.679,13.729000000000001,12.03,9.14,0.314,0.201,0.515
