index,score
0,
1,0.6018518518518519
2,
3,
4,
5,0.7567567567567568
6,0.5
7,0.5
8,0.6486486486486487
9,
10,0.6086956521739131
11,
12,0.5
13,
14,0.5
15,
16,0.5625
17,0.69
18,
19,
20,0.6875
21,0.5
22,
23,0.6630434782608696
24,
25,0.5
26,0.5555555555555556
27,
28,
29,
30,0.5
31,0.7272727272727273
32,
33,0.5131578947368421
34,0.5614035087719298
35,0.6333333333333333
36,
37,0.5
38,0.6266666666666667
39,0.5
40,
41,0.5
42,
43,0.5
44,
45,0.5625
46,
47,0.5
48,0.686046511627907
49,
50,0.6267605633802817
51,0.5285714285714286
52,
53,0.6511627906976745
54,0.5737704918032787
55,0.6309523809523809
56,
57,0.6097560975609757
58,0.5
59,0.7976190476190477
60,0.5
61,0.6216216216216216
62,0.5454545454545454
63,
64,0.5294117647058824
65,0.5
66,
67,0.5875
68,0.5909090909090909
69,
70,0.5
71,
72,0.5
73,0.5104166666666666
74,0.5405405405405406
75,0.6274509803921569
76,0.6923076923076923
77,0.5862068965517242
78,
79,
80,
81,
82,
83,0.5
84,0.6293103448275862
85,
86,0.5
87,0.5
88,0.6219512195121951
89,0.7209302325581395
90,0.5
91,
92,0.5
93,0.5064102564102564
94,0.6075949367088608
95,
96,0.5
97,
98,0.5
99,0.5816326530612245
100,
101,
102,0.5166666666666667
103,0.5
104,
105,
106,0.5
107,0.5
108,0.5454545454545454
109,0.5735294117647058
110,
111,0.5886075949367089
112,0.6083333333333333
113,0.6209677419354839
114,0.5
115,0.5
116,0.5
117,
118,
119,0.5
120,0.5945945945945946
121,0.625
122,0.5882352941176471
123,0.6785714285714286
124,0.5
125,
126,
127,0.5
128,0.625
129,0.5
130,0.538961038961039
131,0.5416666666666667
132,
133,
134,
135,0.5
136,0.6170212765957447
137,0.5
138,0.5192307692307693
139,0.5288461538461539
140,0.5
141,
142,0.5285714285714286
143,
144,
145,0.7272727272727273
146,0.6511627906976745
147,0.5
148,0.5
149,0.5
150,
151,
152,
153,0.5
154,0.5
155,
156,0.5714285714285714
157,0.6274509803921569
158,
159,
160,
161,0.5384615384615384
162,0.5612244897959183
163,
164,
165,0.5
166,0.5948275862068966
167,
168,0.6
169,0.5
170,0.5
171,
172,0.7613636363636365
173,0.6323529411764706
174,0.6159420289855073
175,
176,0.5952380952380952
177,0.5
178,
179,
180,0.5
181,
182,0.5
183,0.6190476190476191
184,
185,0.5833333333333334
186,0.5263157894736842
187,0.5769230769230769
188,0.6339285714285714
189,0.582089552238806
190,0.5
191,0.5
192,
193,0.5789473684210527
194,0.6666666666666667
195,0.6375
196,0.5948275862068966
197,0.6029411764705882
198,0.5
199,
200,0.59375
201,
202,
203,0.5285714285714286
204,0.5
205,0.6447368421052632
206,0.5
207,0.6428571428571429
208,0.5
209,0.6547619047619048
210,0.6454545454545455
211,0.5121951219512195
212,0.5277777777777778
213,0.5740740740740741
214,0.5
215,0.5
216,0.5
217,
218,0.5
219,0.6
220,0.596774193548387
221,
222,0.7361111111111112
223,0.5131578947368421
224,0.5
225,0.5365853658536586
226,0.6290322580645161
227,0.703125
228,0.5
229,0.6060606060606061
230,0.5
231,0.5
232,0.5151515151515151
233,0.6451612903225806
234,
235,0.5365853658536586
236,0.5
237,
238,0.5
239,0.5
240,
241,
242,0.5487804878048781
243,0.532258064516129
244,0.5581395348837209
245,0.6136363636363636
246,0.5972222222222222
247,0.6585365853658537
248,
249,
250,0.5
251,0.5
252,0.53125
253,
254,0.564935064935065
255,0.6625000000000001
256,0.5
257,0.5943396226415094
258,0.6351351351351352
259,
260,0.5
261,0.5
262,0.5172413793103449
263,0.5681818181818182
264,0.6145833333333334
265,0.5
266,0.5
267,0.5
268,0.7820512820512822
