feature,description
pl_trandurerr1,Transit Duration Upper Unc. [days]
pl_trandurerr2,Transit Duration Lower Unc. [days]
pl_trandurlim,Transit Duration Limit Flag
pl_tranmid,Transit Midpoint [days]
pl_tranmiderr1,Transit Midpoint Upper Unc. [days]
pl_tranmiderr2,Transit Midpoint Lower Unc. [days]
pl_tranmidlim,Transit Midpoint Limit Flag
pl_tsystemref,Time System Reference
pl_imppar,Impact Parameter
pl_impparerr1,Impact Parameter Upper Unc.
pl_impparerr2,Impact Parameter Lower Unc.
pl_impparlim,Impact Parameter Limit Flag
pl_occdep,Occultation Depth [percentage]
pl_occdeperr1,Occultation Depth Upper Unc. [percentage]
pl_occdeperr2,Occultation Depth Lower Unc. [percentage]
pl_occdeplim,Occultation Depth Limit Flag
pl_ratdor,Ratio of Distance to Stellar Radius
pl_ratdorerr1,Ratio of Distance to Stellar Radius Upper Unc.
pl_ratdorerr2,Ratio of Distance to Stellar Radius Lower Unc.
pl_ratdorlim,Ratio of Distance to Stellar Radius Limit Flag
pl_ratror,Ratio of Planet to Stellar Radius
pl_ratrorerr1,Ratio of Planet to Stellar Radius Upper Unc.
pl_ratrorerr2,Ratio of Planet to Stellar Radius Lower Unc.
pl_ratrorlim,Ratio of Planet to Stellar Radius Limit Flag
pl_def_reflink,Default Reference
pl_disc,Year of Discovery
pl_disc_reflink,Discovery Reference
pl_locale,Discovery Locale
pl_facility,Discovery Facility
pl_telescope,Discovery Telescope
pl_instrument,Discovery Instrument
pl_status,Status
pl_mnum,Number of Moons in System
pl_st_npar,Number of Stellar and Planet Parameters
pl_st_nref,Number of Stellar and Planet References
pl_pelink,Link to Exoplanet Encyclopaedia
pl_edelink,Link to Exoplanet Data Explorer
pl_publ_date,Publication Date
hd_name,HD Name
hip_name,HIP Name
st_rah,RA [hrs]
st_glon,Galactic Longitude [deg]
st_glat,Galactic Latitude [deg]
st_elon,Ecliptic Longitude [deg]
st_elat,Ecliptic Latitude [deg]
st_plx,Parallax [mas]
st_plxerr1,Parallax Upper Unc. [mas]
st_plxerr2,Parallax Lower Unc. [mas]
st_plxlim,Parallax Limit Flag
gaia_plx,Gaia Parallax [mas]
gaia_plxerr1,Gaia Parallax Upper Unc. [mas]
gaia_plxerr2,Gaia Parallax Lower Unc. [mas]
gaia_plxlim,Gaia Parallax Limit Flag
gaia_dist,Gaia Distance [pc]
gaia_disterr1,Gaia Distance Upper Unc. [pc]
gaia_disterr2,Gaia Distance Lower Unc. [pc]
gaia_distlim,Gaia Distance Limit Flag
st_pmra,Proper Motion (RA) [mas/yr]
st_pmraerr,Proper Motion (RA) Unc. [mas/yr]
st_pmralim,Proper Motion (RA) Limit Flag
